scenario,repetition,seed,fault_onset_step,detected,correct_response,response_latency_steps,completed,terminal_state,recovery_success,appropriate_terminal_response,false_alarm,unsafe_continuation,first_fault_action,replans,reacquisitions,recoveries,stops,failures
recoverable_uncertainty,28,373829,15,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,29,373930,16,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
critical_uncertainty,0,471001,14,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,1,471102,14,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,2,471203,15,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,3,471304,10,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,4,471405,8,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,5,471506,10,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,6,471607,14,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,7,471708,18,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,8,471809,15,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,9,471910,7,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,10,472011,11,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,11,472112,15,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,12,472213,10,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,13,472314,12,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,14,472415,10,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,15,472516,15,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,16,472617,10,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,17,472718,15,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,18,472819,10,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,19,472920,18,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,20,473021,15,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,21,473122,8,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,22,473223,12,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,23,473324,10,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,24,473425,9,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,25,473526,10,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,26,473627,13,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,27,473728,12,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,28,473829,9,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,29,473930,16,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
recoverable_clearance,0,571001,8,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,1,571102,10,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,2,571203,8,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,3,571304,12,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,4,571405,18,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,5,571506,11,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,6,571607,11,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,7,571708,14,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,8,571809,11,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,9,571910,8,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,10,572011,8,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,11,572112,14,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,12,572213,10,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,13,572314,14,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,14,572415,12,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,15,572516,15,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,16,572617,16,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,17,572718,8,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,18,572819,15,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,19,572920,16,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,20,573021,7,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,21,573122,10,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,22,573223,16,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,23,573324,14,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,24,573425,6,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,25,573526,12,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,26,573627,16,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,27,573728,17,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,28,573829,14,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,29,573930,7,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
critical_clearance,0,671001,8,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,1,671102,12,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,2,671203,16,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,3,671304,10,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,4,671405,8,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,5,671506,14,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,6,671607,8,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,7,671708,12,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,8,671809,8,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,9,671910,7,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,10,672011,18,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,11,672112,17,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,12,672213,6,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,13,672314,6,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,14,672415,14,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,15,672516,10,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,16,672617,9,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,17,672718,9,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,18,672819,9,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,19,672920,8,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,20,673021,11,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,21,673122,11,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,22,673223,6,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,23,673324,12,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,24,673425,15,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,25,673526,14,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,26,673627,12,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,27,673728,17,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,28,673829,10,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,29,673930,7,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
recoverable_joint_limit_approach,0,771001,7,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,1,771102,12,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,2,771203,11,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,3,771304,14,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,4,771405,18,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,5,771506,11,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,6,771607,12,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,7,771708,9,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,8,771809,7,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,9,771910,9,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,10,772011,16,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,11,772112,7,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,12,772213,13,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,13,772314,8,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
