stress_condition,repetition,planner_policy,trajectory_released,unsafe_release,safe_release,conservative_safe_block,error_x_mm,error_y_mm,error_z_mm,minimum_surface_clearance_mm,minimum_safety_clearance_mm,truth_collision,truth_safety_violation
calibrated_gaussian,74,robust_chance,False,False,False,True,-3.4671047974508333,-2.0624415793112503,-3.156402902542542,12.466375155709327,4.466375155709327,False,False
calibrated_gaussian,75,nominal_chance,True,False,True,False,-6.704225173261942,-2.6703165411853176,-4.000494453738937,12.997649591528123,4.997649591528123,False,False
calibrated_gaussian,75,robust_chance,False,False,False,True,-6.704225173261942,-2.6703165411853176,-4.000494453738937,12.997649591528123,4.997649591528123,False,False
calibrated_gaussian,76,nominal_chance,True,False,True,False,-5.5227293608889045,0.5219727414406039,1.6043096738159794,11.993239637171463,3.9932396371714622,False,False
calibrated_gaussian,76,robust_chance,False,False,False,True,-5.5227293608889045,0.5219727414406039,1.6043096738159794,11.993239637171463,3.9932396371714622,False,False
calibrated_gaussian,77,nominal_chance,True,False,True,False,0.843731213635961,-1.2194909157097904,-2.912318920383372,12.449105453647057,4.449105453647057,False,False
calibrated_gaussian,77,robust_chance,False,False,False,True,0.843731213635961,-1.2194909157097904,-2.912318920383372,12.449105453647057,4.449105453647057,False,False
calibrated_gaussian,78,nominal_chance,True,False,True,False,4.58837611802363,1.9413525133768843,-0.4687903073691092,12.717953920041511,4.71795392004151,False,False
calibrated_gaussian,78,robust_chance,False,False,False,True,4.58837611802363,1.9413525133768843,-0.4687903073691092,12.717953920041511,4.71795392004151,False,False
calibrated_gaussian,79,nominal_chance,True,False,True,False,6.121282108254828,1.0953972050775964,-2.6797557929114095,13.460955086344518,5.460955086344517,False,False
calibrated_gaussian,79,robust_chance,False,False,False,True,6.121282108254828,1.0953972050775964,-2.6797557929114095,13.460955086344518,5.460955086344517,False,False
calibrated_gaussian,80,nominal_chance,True,False,True,False,-9.98665321430111,-4.518381379795544,-0.5082731553790694,9.99620671059496,1.99620671059496,False,False
calibrated_gaussian,80,robust_chance,False,False,False,True,-9.98665321430111,-4.518381379795544,-0.5082731553790694,9.99620671059496,1.99620671059496,False,False
calibrated_gaussian,81,nominal_chance,True,False,True,False,2.532495030465365,1.5423531485712356,-0.1749256597681462,12.486360634411545,4.486360634411544,False,False
calibrated_gaussian,81,robust_chance,False,False,False,True,2.532495030465365,1.5423531485712356,-0.1749256597681462,12.486360634411545,4.486360634411544,False,False
calibrated_gaussian,82,nominal_chance,True,False,True,False,3.1057958811666566,1.0200925928906734,-0.21973629777182443,12.03757951925454,4.03757951925454,False,False
calibrated_gaussian,82,robust_chance,False,False,False,True,3.1057958811666566,1.0200925928906734,-0.21973629777182443,12.03757951925454,4.03757951925454,False,False
calibrated_gaussian,83,nominal_chance,True,False,True,False,3.7447560738433054,0.7025150550785548,-2.9098242321593664,13.537735163513348,5.537735163513349,False,False
calibrated_gaussian,83,robust_chance,False,False,False,True,3.7447560738433054,0.7025150550785548,-2.9098242321593664,13.537735163513348,5.537735163513349,False,False
calibrated_gaussian,84,nominal_chance,True,False,True,False,0.05914439782499904,1.0381809143776384,-2.4295362329083465,13.86223443907581,5.862234439075809,False,False
calibrated_gaussian,84,robust_chance,False,False,False,True,0.05914439782499904,1.0381809143776384,-2.4295362329083465,13.86223443907581,5.862234439075809,False,False
calibrated_gaussian,85,nominal_chance,True,False,True,False,4.833429898854927,0.9709557565578605,3.328182859742088,9.600363684585117,1.6003636845851166,False,False
calibrated_gaussian,85,robust_chance,False,False,False,True,4.833429898854927,0.9709557565578605,3.328182859742088,9.600363684585117,1.6003636845851166,False,False
calibrated_gaussian,86,nominal_chance,True,False,True,False,-14.614713732369923,-7.399717610132196,-6.322034993162993,12.173350577805683,4.1733505778056825,False,False
calibrated_gaussian,86,robust_chance,False,False,False,True,-14.614713732369923,-7.399717610132196,-6.322034993162993,12.173350577805683,4.1733505778056825,False,False
calibrated_gaussian,87,nominal_chance,True,False,True,False,12.99982542152627,4.222032854993135,-0.8146181835762324,14.550907629107787,6.550907629107787,False,False
calibrated_gaussian,87,robust_chance,False,False,False,True,12.99982542152627,4.222032854993135,-0.8146181835762324,14.550907629107787,6.550907629107787,False,False
calibrated_gaussian,88,nominal_chance,True,False,True,False,2.9409584686835823,2.455250568261525,0.1657736581694501,12.906415237077027,4.906415237077027,False,False
calibrated_gaussian,88,robust_chance,False,False,False,True,2.9409584686835823,2.455250568261525,0.1657736581694501,12.906415237077027,4.906415237077027,False,False
calibrated_gaussian,89,nominal_chance,True,False,True,False,6.71806192223414,2.100723126833582,-1.1722283665253683,13.161355208536436,5.161355208536436,False,False
calibrated_gaussian,89,robust_chance,False,False,False,True,6.71806192223414,2.100723126833582,-1.1722283665253683,13.161355208536436,5.161355208536436,False,False
calibrated_gaussian,90,nominal_chance,True,False,True,False,16.785869938224263,5.458337256058962,0.42780213354340385,14.793979172601173,6.793979172601174,False,False
calibrated_gaussian,90,robust_chance,False,False,False,True,16.785869938224263,5.458337256058962,0.42780213354340385,14.793979172601173,6.793979172601174,False,False
calibrated_gaussian,91,nominal_chance,True,False,True,False,14.430472058917795,3.903893127787212,3.453997189861891,11.808458184225787,3.8084581842257865,False,False
