condition,repetition,strategy,planning_success,direct_edge_accepted,planning_iterations,planning_time_seconds,path_cost,estimated_max_point_risk,true_centre_x,true_centre_y,true_centre_z,minimum_surface_clearance_mm,minimum_safety_clearance_mm,collision,safety_margin_violation,safe_navigation
tangential_major_axis,8,scalar_principal_sigma,False,False,0,0.00031569999919156544,,,0.10727600147908095,-0.02461917525054924,0.02193034095512091,,,False,False,False
tangential_major_axis,8,anisotropic_chance,True,True,0,0.07298090000040247,1.6773616862815874,0.045296445110338625,0.10727600147908095,-0.02461917525054924,0.02193034095512091,12.646072250811482,4.646072250811482,False,False,True
tangential_major_axis,9,deterministic,True,True,0,0.0024051000000326894,1.6773616862815874,0.045296445110338625,0.09445474169695582,-0.028522823017552826,0.017562423962016856,12.496121690611663,4.496121690611662,False,False,True
tangential_major_axis,9,scalar_principal_sigma,False,False,0,0.00031569999919156544,,,0.09445474169695582,-0.028522823017552826,0.017562423962016856,,,False,False,False
tangential_major_axis,9,anisotropic_chance,True,True,0,0.07298090000040247,1.6773616862815874,0.045296445110338625,0.09445474169695582,-0.028522823017552826,0.017562423962016856,12.496121690611663,4.496121690611662,False,False,True
tangential_major_axis,10,deterministic,True,True,0,0.0024051000000326894,1.6773616862815874,0.045296445110338625,0.12542657987042635,-0.019557190723548838,0.02707529528004017,14.994050274566522,6.994050274566522,False,False,True
tangential_major_axis,10,scalar_principal_sigma,False,False,0,0.00031569999919156544,,,0.12542657987042635,-0.019557190723548838,0.02707529528004017,,,False,False,False
tangential_major_axis,10,anisotropic_chance,True,True,0,0.07298090000040247,1.6773616862815874,0.045296445110338625,0.12542657987042635,-0.019557190723548838,0.02707529528004017,14.994050274566522,6.994050274566522,False,False,True
tangential_major_axis,11,deterministic,True,True,0,0.0024051000000326894,1.6773616862815874,0.045296445110338625,0.11763174566304932,-0.0213914758881675,0.021348688857369163,11.533456895988689,3.5334568959886887,False,False,True
tangential_major_axis,11,scalar_principal_sigma,False,False,0,0.00031569999919156544,,,0.11763174566304932,-0.0213914758881675,0.021348688857369163,,,False,False,False
tangential_major_axis,11,anisotropic_chance,True,True,0,0.07298090000040247,1.6773616862815874,0.045296445110338625,0.11763174566304932,-0.0213914758881675,0.021348688857369163,11.533456895988689,3.5334568959886887,False,False,True
tangential_major_axis,12,deterministic,True,True,0,0.0024051000000326894,1.6773616862815874,0.045296445110338625,0.11722547513844207,-0.01883062734889034,0.02410874519606024,11.069781976821483,3.0697819768214836,False,False,True
tangential_major_axis,12,scalar_principal_sigma,False,False,0,0.00031569999919156544,,,0.11722547513844207,-0.01883062734889034,0.02410874519606024,,,False,False,False
