trial,generic_planning_success,generic_safe,generic_collision,generic_safety_margin_violation,generic_minimum_safety_clearance_m,generic_path_cost,task_aware_planning_success,task_aware_safe,task_aware_collision,task_aware_safety_margin_violation,task_aware_minimum_safety_clearance_m,task_aware_path_cost,clearance_difference_m
85,True,False,False,True,-0.008329670426947969,2.35441351066416,True,True,False,False,0.0011623384433958796,2.260969915351803,0.009492008870343849
86,True,False,False,True,-0.00120715565935141,2.654189215285093,True,True,False,False,0.0068359430983786895,2.8613824691431904,0.0080430987577301
87,True,True,False,False,5.8020240463569836e-05,2.2320014982344905,True,True,False,False,0.00942468222407773,2.715307021236752,0.00936666198361416
88,True,False,False,True,-0.007448625184294068,1.727635714676575,True,True,False,False,0.0028589484452517296,2.449457422855423,0.010307573629545798
89,True,False,False,True,-0.0007895480903958325,2.130663797174983,True,True,False,False,0.010848284162122896,2.4519413883437995,0.011637832252518729
90,True,False,False,True,-0.009908620924527095,1.8800220979737272,True,True,False,False,0.008781265050913053,2.633918211601527,0.01868988597544015
91,True,False,False,True,-0.0021436914046882947,2.4004121998307255,True,True,False,False,0.009476337981499583,2.982737341130475,0.011620029386187877
92,True,True,False,False,0.001669234805308199,2.631084372203418,True,True,False,False,0.010144428136874257,2.7731978502586445,0.008475193331566058
93,True,False,False,True,-0.003935327104659077,1.825437586741736,True,True,False,False,0.0035156682113191753,2.675943464965638,0.007450995315978252
94,True,True,False,False,0.005390370091383467,1.9444215728082674,True,True,False,False,0.014714237497376442,2.341549735673924,0.009323867405992975
95,True,False,False,True,-0.003046369810678075,1.76632366040661,True,True,False,False,0.004802902298149022,2.537484318173175,0.007849272108827098
96,True,False,False,True,-0.002039726216353158,2.9411512928852495,True,False,False,True,-0.0034768821792179484,3.037669284398248,-0.0014371559628647904
97,True,True,False,False,0.001594793372097605,2.6240753009055275,True,True,False,False,0.013678245162967414,3.30805545681555,0.01208345179086981
98,True,False,False,True,-0.0024452515188252925,1.6744467440230895,True,True,False,False,0.006466393198492145,2.573846203485151,0.008911644717317438
99,True,False,False,True,-0.0035980038036391732,2.213739751962012,True,True,False,False,0.006023269651193075,2.3186669213684254,0.009621273454832248
