trial,strategy,perception_seed,planner_seed,mean_localisation_error,mean_predicted_sigma,camera_movement,planning_success,collision_against_truth,safety_violation_against_truth,minimum_true_safety_clearance,mean_planning_safety_margin,maximum_planning_safety_radius
22,fixed,20260845,2022,0.004754165198395231,0.003289246736164148,0.0,True,False,False,0.006202531287123917,0.021578493472328295,0.04915698694465659
22,generic_active,20260845,2022,0.043393770685692085,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
22,task_aware_active,20260845,2022,0.0044623189517367075,0.003117711648907182,0.11544233643275585,True,False,False,0.006202531287123917,0.02123542329781436,0.048470846595628725
23,fixed,20260846,2023,0.008978374419309753,0.003289246736164148,0.0,True,False,False,0.001742380096566928,0.021578493472328295,0.04915698694465659
23,generic_active,20260846,2023,0.08290613331581126,0.026000000000000002,0.03642709213008326,True,False,True,-0.011147351442232336,0.067,0.14
23,task_aware_active,20260846,2023,0.008419995556851828,0.003117711648907182,0.11544233643275585,True,False,False,0.001742380096566928,0.02123542329781436,0.048470846595628725
24,fixed,20260847,2024,0.006663937751578062,0.003289246736164148,0.0,True,False,False,0.0017248800981770809,0.021578493472328295,0.04915698694465659
24,generic_active,20260847,2024,0.0549769176674712,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
24,task_aware_active,20260847,2024,0.006299028180801586,0.003117711648907182,0.11544233643275585,True,False,False,0.004212114617970558,0.02123542329781436,0.048470846595628725
25,fixed,20260848,2025,0.005214777194359983,0.003289246736164148,0.0,True,False,False,0.004674890592102047,0.021578493472328295,0.04915698694465659
25,generic_active,20260848,2025,0.04608963967715681,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
25,task_aware_active,20260848,2025,0.004906047976039957,0.003117711648907182,0.11544233643275585,True,False,False,0.003853530277313345,0.02123542329781436,0.048470846595628725
26,fixed,20260849,2026,0.004991690692411608,0.003289246736164148,0.0,True,False,False,0.005026487465034554,0.021578493472328295,0.04915698694465659
26,generic_active,20260849,2026,0.03844727415981066,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
26,task_aware_active,20260849,2026,0.004738999539342219,0.003117711648907182,0.11544233643275585,True,False,False,0.005026487465034554,0.02123542329781436,0.048470846595628725
27,fixed,20260850,2027,0.005708902425164679,0.003289246736164148,0.0,True,False,False,0.007465831402204753,0.021578493472328295,0.04915698694465659
27,generic_active,20260850,2027,0.05278560619926963,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
27,task_aware_active,20260850,2027,0.005353330489885878,0.003117711648907182,0.11544233643275585,True,False,False,0.007465831402204753,0.02123542329781436,0.048470846595628725
28,fixed,20260851,2028,0.005589532465882799,0.003289246736164148,0.0,True,False,False,0.007458625684177536,0.021578493472328295,0.04915698694465659
28,generic_active,20260851,2028,0.03858122870546604,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
28,task_aware_active,20260851,2028,0.005340345068729228,0.003117711648907182,0.11544233643275585,True,False,False,0.007458625684177536,0.02123542329781436,0.048470846595628725
29,fixed,20260852,2029,0.005136725160167399,0.003289246736164148,0.0,True,False,False,0.004479880030076667,0.021578493472328295,0.04915698694465659
29,generic_active,20260852,2029,0.04470313372400599,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
29,task_aware_active,20260852,2029,0.004837878738536355,0.003117711648907182,0.11544233643275585,True,False,False,0.004479880030076667,0.02123542329781436,0.048470846595628725
30,fixed,20260853,2030,0.00604609645592649,0.003289246736164148,0.0,True,False,False,0.006790224539162287,0.021578493472328295,0.04915698694465659
30,generic_active,20260853,2030,0.04535544771010096,0.026000000000000002,0.03642709213008326,True,False,False,0.0022320582938381347,0.067,0.14
30,task_aware_active,20260853,2030,0.005749191596846503,0.003117711648907182,0.11544233643275585,True,False,False,0.006790224539162287,0.02123542329781436,0.048470846595628725
31,fixed,20260854,2031,0.0034644168673118357,0.003289246736164148,0.0,True,False,False,0.004252699332528509,0.021578493472328295,0.04915698694465659
31,generic_active,20260854,2031,0.023804015923568386,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
31,task_aware_active,20260854,2031,0.003310791187953928,0.003117711648907182,0.11544233643275585,True,False,False,0.005424273424073511,0.02123542329781436,0.048470846595628725
32,fixed,20260855,2032,0.0057758472209328005,0.003289246736164148,0.0,True,False,False,0.005625744146691659,0.021578493472328295,0.04915698694465659
32,generic_active,20260855,2032,0.04907994382688919,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
